ring_id,vertex_id,x,y
0,0,227077.715468252,-250761.228671508
0,1,226895.443935804,-251946.732892547
0,2,226131.972681817,-251786.898753499
0,3,226296.697674123,-250708.999976852
0,4,227074.451587543,-249932.569483431
0,5,227227.106188857,-250026.146182201
0,6,228454.100385866,-249156.161693117
0,7,227724.527157093,-249375.683433125
0,8,227431.773592742,-248682.270397514
0,9,226236.301944248,-248991.466665029
0,10,226033.086256848,-247750.886372639
0,11,225745.452630695,-247415.816394367
0,12,226098.236989170,-246413.796089804
0,13,224077.447219658,-246065.517595802
0,14,223460.528526262,-247690.538108112
0,15,223238.926047169,-247765.454611869
0,16,223698.653804412,-246577.672510503
0,17,223416.361449664,-245263.255720642
0,18,224083.980005177,-246001.256677303
0,19,224118.038407834,-244391.434817421
0,20,222374.321983772,-243799.798177021
0,21,222046.084183727,-245596.172911942
0,22,220931.587964003,-244775.295112327
0,23,220986.749807905,-247335.428676580
0,24,218686.549307721,-246042.341938531
0,25,217481.030778314,-248513.997800589
0,26,219070.154784205,-248695.499844674
0,27,218536.832709752,-249438.733087005
0,28,219054.851416541,-250430.316591509
0,29,218471.918834325,-251406.758102027
0,30,219635.662551898,-253762.157364853
0,31,218283.241666564,-253295.609227725
0,32,217545.055806950,-256233.794908039
0,33,216228.780915937,-257611.935874697
0,34,217897.097878950,-257870.021537970
0,35,217794.950636847,-259894.554025018
0,36,218631.457478213,-258114.957493445
0,37,216635.629971336,-257380.979623709
0,38,219089.838439285,-256325.642567411
0,39,218295.370262791,-253978.888123405
0,40,220426.932096442,-254286.118036120
0,41,219084.549364510,-247948.792257607
0,42,222830.245420300,-247622.066306517
0,43,222687.840260838,-249108.920470986
0,44,224715.357784457,-246353.638845039
0,45,225831.272692792,-248743.475199019
0,46,226087.627266922,-252446.187135505
0,47,227923.841401827,-251359.136465808
0,48,225952.357877938,-253963.738924956
0,49,228528.296063273,-251540.246610053
Total signed area in input: 3.115586e+07
Total signed area in output: 3.115586e+07
Total areal displacement: 4.856877e+07
