ring_id,vertex_id,x,y
0,0,872526.518081470,760699.930571072
0,1,800618.843483388,751842.238362155
0,2,949417.147784748,665631.401142724
0,3,917174.719711445,664380.041172397
0,4,949302.352209177,627495.867853371
0,5,932539.260140039,542224.530101661
0,6,913116.836829722,525917.771809743
0,7,908805.703302327,493283.433181309
0,8,933656.977578953,485112.298564760
0,9,968344.958323346,548174.611729332
0,10,1003698.042354394,534295.739250196
0,11,1037057.227391713,419306.528654965
0,12,1084256.778478393,479540.539400614
0,13,1069377.877648045,568218.895781909
0,14,1094800.954106471,628643.372238164
0,15,1083797.561975208,667378.112811698
0,16,1049908.703941068,700044.412407614
0,17,1080193.628381335,702269.753773847
0,18,1087197.588890440,675857.140907904
0,19,1104991.842601306,666656.773743930
0,20,1108286.622656306,680226.526942902
0,21,1111352.502479156,654929.879714971
0,22,1120949.068223405,655350.781655324
0,23,1118663.430449624,630535.462651485
0,24,1129797.903563811,647732.483694389
0,25,1139416.034580199,651294.664981185
0,26,1142983.962332435,636998.820619014
0,27,1187194.517435686,627692.143884081
0,28,1189438.003299607,654205.693292291
0,29,1171449.900399213,664195.413767021
0,30,1190774.128968086,677170.500945044
0,31,1188891.706552353,668867.716014339
0,32,1205268.854442076,662547.485113788
0,33,1207565.592089301,667867.639163119
0,34,1197254.852403582,676151.472598278
0,35,1194911.887606490,685426.916126342
0,36,1186464.904875733,686421.123614442
0,37,1185731.383469919,691427.903056221
0,38,1174407.215420178,699651.905578078
0,39,1178250.253823199,710387.968648397
0,40,1161631.926708163,716159.374684094
0,41,1158157.346783756,728251.023613023
0,42,1143035.947214898,737107.934588830
0,43,1141221.409991644,756957.329089769
0,44,1134736.025558046,750523.048568388
0,45,1106876.689549675,788219.865564967
0,46,1041989.227920692,788103.241992736
0,47,1050139.287956238,797206.873949906
0,48,1001770.695362005,795155.448269220
0,49,889684.871763437,800007.138006976
Total signed area in input: 6.321472e+10
Total signed area in output: 6.321472e+10
Total areal displacement: 9.707359e+09
