ring_id,vertex_id,x,y
0,0,0.000000000,0.000000000
0,1,200.000000000,-50.000000000
0,2,400.000000000,0.000000000
0,3,600.000000000,-30.000000000
0,4,800.000000000,0.000000000
0,5,1000.000000000,50.000000000
0,6,1200.000000000,0.000000000
0,7,1250.000000000,200.000000000
0,8,1200.000000000,400.000000000
0,9,1250.000000000,600.000000000
0,10,1100.000000000,750.000000000
0,11,900.000000000,850.000000000
0,12,700.000000000,900.000000000
0,13,500.000000000,1000.000000000
0,14,300.000000000,950.000000000
0,15,150.000000000,800.000000000
0,16,50.000000000,650.000000000
0,17,0.000000000,500.000000000
0,18,-50.000000000,300.000000000
0,19,0.000000000,150.000000000
1,0,200.000000000,200.000000000
1,1,200.000000000,350.000000000
1,2,300.000000000,450.000000000
1,3,450.000000000,400.000000000
1,4,450.000000000,300.000000000
1,5,400.000000000,200.000000000
1,6,300.000000000,150.000000000
2,0,700.000000000,300.000000000
2,1,750.000000000,350.000000000
2,2,850.000000000,500.000000000
2,3,950.000000000,650.000000000
2,4,1000.000000000,600.000000000
2,5,1050.000000000,450.000000000
2,6,1000.000000000,350.000000000
2,7,900.000000000,250.000000000
2,8,800.000000000,200.000000000
Total signed area in input: 9.210000e+05
Total signed area in output: 9.210000e+05
Total areal displacement: 0.000000e+00
